Date,Open,High,Low,Close,Adj Close,Volume
2016-06-17,30.291315,30.301134,29.898561,30.570000,30.016386,6707900
2016-06-20,30.291315,30.556427,29.869102,30.420000,29.869102,4333500
2016-06-21,29.751276,30.261858,29.751276,30.370001,29.820007,5155200
2016-06-22,29.820007,30.085117,29.554897,30.360001,29.810190,6480100
2016-06-23,30.065481,30.330591,29.977112,30.670000,30.114574,6410500
2016-06-24,29.407614,30.340410,29.338881,30.760000,30.202944,12432100
2016-06-27,29.986931,30.762625,29.957474,31.250000,30.684071,7054400
2016-06-28,30.782259,31.204475,30.517149,31.330000,30.762625,5861200
2016-06-29,30.925337,31.122564,30.639357,31.430000,30.994368,5505500
2016-06-30,31.132425,31.635361,30.994368,32.020000,31.576189,4829400
2016-07-01,31.576189,32.729973,31.556465,32.680000,32.227043,7707100
2016-07-05,32.207321,32.207321,31.674803,32.310001,31.862169,4752200
2016-07-06,31.901617,32.789143,31.862169,33.160000,32.700390,7205800
2016-07-07,32.818726,33.163876,32.611637,33.279999,32.818726,3606800
2016-07-08,33.025818,33.390686,32.956783,33.580002,33.114571,4415500
2016-07-11,33.232906,33.518883,33.006092,33.610001,33.144154,3906100
2016-07-12,33.223042,33.351238,32.789143,33.380001,32.917339,5037300
2016-07-13,33.114571,33.449852,32.769421,33.759998,33.292072,3991900
2016-07-14,33.410408,33.528744,33.084980,33.580002,33.114571,3577700
2016-07-15,33.262486,33.272350,32.670803,33.160000,32.700390,4916700
2016-07-18,32.700390,33.163876,32.562328,33.380001,32.917339,4025800
2016-07-19,32.729973,32.779282,32.158009,32.779999,32.325653,4777300
2016-07-20,32.355244,32.631359,32.088982,33.040001,32.582050,2937500
2016-07-21,32.513027,32.887753,32.473576,33.169998,32.710251,2849100
2016-07-22,32.700390,33.321659,32.651081,33.720001,33.252628,5022900
2016-07-25,33.745697,34.189457,33.538605,34.570000,34.090843,11305400
2016-07-26,33.449852,34.071121,33.449852,34.110001,33.637222,6536700
2016-07-27,33.469578,33.992233,33.055401,33.639999,33.173733,8399800
2016-07-28,31.438128,31.477573,29.840582,30.610001,30.185732,24155700
2016-07-29,30.274485,30.501299,29.830721,30.480000,30.057533,9735200
2016-08-01,29.909613,30.442129,29.880028,30.410000,29.988504,6370500
2016-08-02,29.929335,30.116703,29.603910,30.160000,29.741968,7339200
2016-08-03,29.653217,30.037809,29.603910,30.400000,29.978643,4596300
